Netherlands,Нидерланды,Нiдерланди,NLD,31
Nicaragua,Никарагуа,Нiкарагуа,NIC,505
Niue,Ниуэ,Нiуе,NIU,683
New Zealand,Новая Зеландия,Нова Зеландiя,NZL,64
New Caledonia,Новая Каледония,Нова Каледонiя,NCL,687
Norway,Норвегия,Норвегiя,NOR,47
United Arab Emirates,Объединенные Арабские Эмираты,Об'єднанi Арабськi Емiрати,ARE,971
Oman,Оман,Оман,OMN,968
Cayman islands,Острова Кайман,Острови Кайман,CYM,1345
Cook islands,Острова Кука,Острови Кука,COK,682
Isle Of Man,Остров Мэн,Острiв Мен,IMN,44
Norfolk Island,Остров Норфолк,Острiв Норфолк,NFK,672
Turks and Caicos Islands,Острова Теркс и Кайкос,Острови Теркс і Кайкос,TCA,1649
Pitcairn Islands,Острова Питкэрн,Острови Піткерн,PCN,64
Saint Helena,Остров Святой Елены,Острів Святої Єлени,SHN,290
Christmas Island,Остров Рождества,Острів Різдва,CXR,61
Pakistan,Пакистан,Пакистан,PAK,92
Palau,Палау,Палау,PLW,680
Palestinian Authority,Палестинская автономия,Палестинська автономiя,PSE,970
Panama,Панама,Панама,PAN,507
Papua New Guinea,Папуа-Новая Гвинея,Папуа-Нова Гвiнея,PNG,675
Paraguay,Парагвай,Парагвай,PRY,595
Peru,Перу,Перу,PER,51
Poland,Польша,Польща,POL,48
Portugal,Португалия,Португалiя,PRT,351
Puerto Rico,Пуэрто-Рико,Пуерто-Рiко,PRI,1787
Reunion,Реюньон,Реюньйон,REU,262
Russia,Россия,Росiя,RUS,7
Rwanda,Руанда,Руанда,RWA,250
Romania,Румыния,Румунiя,ROU,40
Salvador,Сальвадор,Сальвадор,SLV,503
Samoa,Самоа,Самоа,WSM,685
San Marino,Сан-Марино,Сан-Марiно,SMR,378
Sao Tome and Principe,Сан-Томе и Принсипи,Сан-Томе i Прiнсiпi,STP,239
Saudi Arabia,Саудовская Аравия,Саудiвська Аравiя,SAU,966
Swaziland,Свазиленд,Свазiленд,SWZ,268
Northern Mariana Islands,Северные Марианские острова,Пiвнiчнi Марiанськi острови,MNP,1670
North Korea,Северная Корея,Пiвнiчна Корея,PRK,850
Seychelles,Сейшелы,Сейшели,SYC,248
Senegal,Сенегал,Сенегал,SEN,221
Saint Lucia,Сент-Люсия,Сент-Люсiя,LCA,1758
Saint Pierre and Miquelon,Сент-Пьер и Микелон,Сент-Пьєр i Мiкелон,SPM,508
Saint Vincent and the Grenadines,Сент-Винсент и Гренадины,Сент-Вінсент і Гренадіни,VCT,1784
Saint Kitts and Nevis,Сент-Китс и Невис,Сент-Кітс і Невіс,KNA,1869
Serbia,Сербия,Сербiя,SRB,381
Singapore,Сингапур,Сiнгапур,SGP,65
Sint Maarten,Синт-Мартен,Синт-Мартен,Сінт-Мартен,SXM,1721
Syria,Сирия,Сирія,SYR,963
Slovakia,Словакия,Словаччина,SVK,421
Slovenia,Словения,Словенiя,SVN,386
Solomon islands,Соломоновы Острова,Соломоновi Острови,SLB,677
Somalia,Сомали,Сомалi,SOM,252
Sudan,Судан,Судан,SDN,249
Suriname,Суринам,Сурiнам,SUR,597
Sierra Leone,Сьерра-Леоне,Сьєрра-Леоне,SLE,232
USA,США,США,USA,1
Thailand,Таиланд,Таїланд,THA,66
Taiwan,Тайвань,Тайвань,TWN,886
Tajikistan,Таджикистан,Таджикистан,TJK,992
Tanzania,Танзания,Танзанiя,TZA,255
Togo,Того,Того,TGO,228
Tokelau,Токелау,Токелау,TKL,690
Tonga,Тонга,Тонга,TON,676
Trinidad and Tobago,Тринидад и Тобаго,Тринiдад i Тобаго,TTO,1868
Tuvalu,Тувалу,Тувалу,TUV,688
Tunisia,Тунис,Тунiс,TUN,216
Turkmenistan,Туркменистан,Туркменістан,TKM,993
Turkey,Турция,Туреччина,TUR,90
Uganda,Уганда,Уганда,UGA,256
Uzbekistan,Узбекистан,Узбекистан,UZB,998
Ukraine,Украина,Україна,UKR,380
Wallis and Futuna,Уоллис и Футуна,Уоллiс i Футуна,WLF,681
Uruguay,Уругвай,Уругвай,URY,598
Faroe islands,Фарерские острова,Фарерськi острови,FRO,298
Fiji,Фиджи,Фiджi,FJI,679
Finland,Финляндия,Фiнляндiя,FIN,358
Philippines,Филиппины,Фiлiппiни,PHL,63
France,Франция,Францiя,FRA,33
French guiana,Французская Гвиана,Французька Гвiана,GUF,594
French polynesia,Французская Полинезия,Французька Полiнезiя,PYF,689
Falkland Islands,Фолклендские острова,Фолклендськi острови,FLK,500
Croatia,Хорватия,Хорватiя,HRV,385
Central African Republic,Центрально-Африканская Республика,Центральноафриканська Республiка,CAF,236
Chad,Чад,Чад,TCD,235
Montenegro,Черногория,Чорногорiя,MNE,382
Czech,Чехия,Чехiя,CZE,420
Chile,Чили,Чилi,CHL,56
Switzerland,Швейцария,Швейцарiя,CHE,41
Sweden,Швеция,Швецiя,SWE,46
Spitsbergen and Jan Mayen,Шпицберген и Ян Майен,Шпiцберген i Ян Майен,SJM,4779
Sri Lanka,Шри-Ланка,Шрi-Ланка,LKA,94
Ecuador,Эквадор,Еквадор,ECU,593
Equatorial Guinea,Экваториальная Гвинея,Екваторiальна Гвiнея,GNQ,240
Eritrea,Эритрея,Ерiтрея,ERI,291
Estonia,Эстония,Естонiя,EST,372
Ethiopia,Эфиопия,Ефiопiя,ETH,251
South Korea,Южная Корея,Пiвденна Корея,KOR,82
South Africa,Южно-Африканская Республика,Пiвденно-Африканська Республiка,ZAF,27
South Sudan,Южный Судан,Південний Судан,SSD,211
South Georgia and the South Sandwich Islands,Южная Георгия и Южные Сандвичевы острова,Південна Георгія та Південні Сандвічеві острови,SGS,500
Jamaica,Ямайка,Ямайка,JAM,1876
Japan,Япония,Японiя,JPN,81
